Account Code,Territory
78973104,Gracklstugh
68808447,Tyraturos
97994203,Cedarspoke
78025705,Dashadjen
67173182,Adama's Tooth
43895769,Marsember
79919946,Priapurl
86540562,Azureleaf
60980581,Sundabar
81897524,Adama's Tooth
63309072,Mereu
21149045,Arrabar
46251653,Vaelan
36775646,Athkatla
22808914,Mantol Dereith
55855383,Theshburl
43833583,Lundeth
44804234,Tyraturos
10838362,Alaghon
59061340,Telos City
39109211,Caer Callidyrr
71386563,Uluvin
27684321,Mucklestones
57280620,Arrabar
77509122,Wyrmspine
72667515,Urmlaspyr
60182076,Alaghon
96189292,Alaghon
94035522,Alaghon
83515451,Alaghon
13044487,Alaghon
42388389,Kai Shan
78292360,Horsa
14664262,Candlekeep
46361474,Memnonnar
30533547,Malaxer
79634925,Hilltop
43486610,Ordulin
87629297,Dwarven Valley
92487613,Paletorch
16058997,Bryn Shander
92665154,Fort Belurian
31106779,Rauvincross
95107984,Friendly Arm Inn
91051188,Tharsult
84294255,Lushpool
27924011,Paletorch
70961130,Ironfang Keep
75799261,Farview
46916955,Nykkar
45081176,Halagard
36928178,Scornubel
18807493,Olafstaad
55902734,Mirabar
49024078,Surthay
26880401,Praka
81847575,Shimmerglade
11964612,Messemprar
34189663,Nethyr
52745581,Ilmwatch
24384843,Silverymoon
71841667,Telflamm
45723145,Oman
29177122,Silverymoon
29449884,Dilpur
64335876,Caer Callidyrr
55296611,Keltar
34932550,Urmlaspyr
72234962,Caer Moray
29673684,Eveningstar
51447742,Sundabar
62532723,Amphail
84790672,Amruthar
15331924,Arkanax
90761539,Olafstaad
99241966,Pengram
70843527,Mulsantir
59735751,Sundabar
13241942,Iljak
59385131,Port Nowhere
10890588,Keltar
35956573,Eltabbar
19331688,Memnon
28016390,Targos
84775534,Ironmaster
27884740,Lushpool
73420192,Menzoberranzan
34392832,Wyrmspine
73756591,Waymoot
83776316,Palost Port
51196829,Gnarhelm
93839889,Holondeth
32053558,Emelone
59897812,Iljak
77130185,Arn Rock
28753788,Norheim
93107603,Arabel
57411920,Nashkel
89180938,Ravenstone
88780315,Furthinghome
66597790,Kuo Te' Lung
51339179,Phant
58455311,Nethyr
21374613,Silverymoon
71615032,Darromar
15825062,Koko Nur
17395880,Wai
72102224,Mussum
74382879,Ironmaster
98262112,Mucklestones
64619764,Lundeth
19324588,Arabel
76556987,Heptios
17895257,Norheim
26786524,Nyth
37083109,Arkanax
70092869,Arkanax
50771386,Arkanax
44367396,Arkanax
74015487,Hilltop
67170944,Eshpurta
34751008,Menzoberranzan
99221299,Arrabar
28984928,Arrabar
17772820,Arrabar
13920922,Arrabar
32739873,Arrabar
22063836,Dusk Hold
13491020,Eshpurta
27986442,Vaelan
74725025,Gnarhelm
50987880,Shimmerglade
59826762,The Nath
84906799,Emmesh
25481102,Arabel
50962155,Port Kir
85441975,Assur
48314386,Assur
97959078,Athkatla
10148490,Athkatla
74323924,Athkatla
91139783,Athkatla
79856930,Athkatla
13361720,Emmesh
94963978,Cedarspoke
24840445,Sambar
54122917,Nyth
88460988,Arabel
78496299,Amphail
15228624,Fort Belurian
96922255,Paletorch
69490754,Myratma
70032100,Nethyr
51814654,Citadel of Conjurers
12199049,Mount Talath
56093385,Huzuz
91222131,Krenalir
24959190,Thornhold
55433124,Nykkar
52340342,Old Vaelan
31912330,Messemprar
52804984,Baldur's Gate
55078760,Baldur's Gate
41492931,Baldur's Gate
42542141,Baldur's Gate
67219059,Baldur's Gate
86533149,Kork
89223039,Hundlestone
85438109,Tyraturos
13326321,Mulsantir
60261745,Dilpur
89006220,Calimport
35602972,Candlekeep
35148786,Messemprar
65329269,Blackstone
28595135,Yuthgalaunt
36291555,Waymoot
46912153,Beluir
71373123,Beluir
13773886,Beluir
77021874,Maur-Eturo
42729291,Tilbrand
94521196,Waterdeep
49448682,Candlekeep
10961825,Berdusk
91662056,Berdusk
60501287,Wai
43861952,Mount Talath
81251608,Cedarspoke
45408167,Bezentil
99454786,Riatavin
87431476,Dashadjen
34914779,Alaghon
39840732,Arabel
73542715,Arkanax
60506575,Arrabar
65213313,Athkatla
69480275,Baldur's Gate
70990271,Beluir
10029924,Berdusk
24548422,Caer Moray
84633028,Caer Westphal
82549867,Calimport
17226298,Cathyr
36574313,Cedarspoke
67421616,Cimbar
79678181,Citadel Adbarr
40453158,Citadel Felbarr
92961761,Crimmor
21269208,Daerlun
28374315,Darromar
75347128,Dilpur
24056219,Elturel
56529812,Erebos
62967317,Eshpurta
27516213,Eversult
54304032,Gauntlgrym
54179640,Halagard
33510530,Heliogabalus
10557002,Heptios
67777118,Holondeth
78959067,Iljak
63115531,Krenalir
42676874,Lushpool
25899316,Malaxer
36193835,Maralith
11557490,Marsember
57869507,Memnon
33662810,Messemprar
15467634,Mithral Hall
70028735,Mount Talath
69307834,Murann
89546823,Mussum
72536440,Myratma
80718657,Myth Drannor
25036473,Nyth
86204468,Ordulin
89190194,Phannaskul
65857133,Riatavin
43781660,Secomber
45838887,Shamph
32025407,Shoun
65088305,Silverymoon
92966980,Starmantle
80157312,Sundabar
74659319,Suzail
49592061,The Nath
15978405,The Smoking Keep
14400703,Thindar
38265511,Tilverton
61446856,Toreus
61180918,Trademeet
82113640,Triel
19375645,Velen
73362842,Waterdeep
94133520,Yuthgalaunt
68054556,Zabbasz
46054109,Zalazuu
10419499,Blackstone
72673261,Assur
46419568,Nykkar
74631024,Sundrah
75601510,Malaxer
18404294,Erebos
61231701,Mulsantir
66194736,Yuthgalaunt
50176731,Koko Nur
38648727,Kai Shan
21110199,Aerilpar
29294248,Alaghon
40800291,Arkanax
92741940,Arrabar
90418923,Assur
42115373,Athkatla
71265203,Baldur's Gate
70780072,Berdusk
88720360,Bezentil
31522741,Calimport
63920819,Cedarspoke
17625389,Cimbar
53763616,Citadel Adbarr
31420081,Citadel Felbarr
62851907,Crimmor
51575098,Daerlun
94199106,Daggerford
91268308,Darromar
49599273,Dilpur
47750765,Elturel
28946408,Erebos
73411560,Eshpurta
72429763,Everlund
62641964,Eversult
44977250,Farview
71080611,Halagard
25889759,Heliogabalus
48218174,Heptios
91858630,Holondeth
28881619,Huzuz
44506871,Iriaesbor
88388265,Krenalir
48273162,Lhuvenhead
87251676,Malaxer
23255270,Maralith
25224048,Marsember
57592398,Memnon
40617136,Mereu
25158099,Messemprar
13402749,Mithral Hall
29826720,Mount Talath
53172184,Murann
50077543,Mussum
80545067,Myratma
12243458,Nexal
81852057,Ordulin
49920522,Phannaskul
75638346,Proskur
36329613,Riatavin
43106209,Saerloon
64462361,Sambar
11633084,Secomber
34545100,Silverymoon
60062395,Starmantle
64597601,Sundrah
21653494,Suzail
76139635,Thunderstone
37489940,Toreus
49112754,Trademeet
74696979,Tyraturos
59383167,Vaelan
68444360,Velen
22894556,Waterdeep
30606174,Yuthgalaunt
26900899,Zabbasz
17129449,Zalazuu
91649288,Azureleaf
54834262,Nyth
49758109,Palischuk
89325299,New Alaron
52193072,Mirabar
74598806,Palischuk
76586620,Calimport
91438107,Old Vaelan
54054298,Eltabbar
47036587,Darmshall
17376522,Manshaka
37369444,Dusk Hold
45616092,Arn Rock
59874956,Uluvin
67167734,Sambar
88081147,Waterdeep
52203729,Sunderstaad
31584971,Caer Callidyrr
80755707,Caer Moray
20085265,Caer Moray
35882536,Caer Westphal
50296584,Priapurl
35865150,Calimport
94989427,Calimport
70932545,Calimport
39679950,Calimport
12635981,Calimport
69558162,Bloodstone (Damara)
78991143,Eshpurta
25881030,Keltar
33801051,Zazesspur
35207459,Malaxer
69022692,Candlekeep
38703015,Myth Drannor
41911318,Shoun
54295995,Bloodstone (Damara)
28828326,Wyrmspine
18622015,Hlath
30292572,The Smoking Keep
93706984,Gauntlgrym
95516941,Urmlaspyr
49688752,Heliogabalus
88446605,Riatavin
47739953,Mucklestones
28454032,Cathyr
31453443,Cathyr
57803119,Berdusk
37871528,Cedarspoke
99456988,Cedarspoke
56653044,Hammerstaad
74301141,New Alaron
96334901,Adama's Tooth
62124039,Heptios
15375767,Zalazuu
71598454,Caer Callidyrr
91120603,Mulsantir
94392487,Oman
91671996,Olafstaad
52043020,Azureleaf
82443584,Keltar
63955461,Messemprar
86885441,Theshburl
44677574,Baldur's Gate
60257851,Adama's Tooth
69015415,Korinn
98634175,Targos
70948808,Iljak
77191174,Marsember
48916540,Regent's Field
88481190,Eversult
24869548,New Sarshel
17187495,Caer Westphal
83290727,Eversult
47741111,Malaxer
36797862,Ironmaster
48451337,Alaghon
83818602,Korinn
63823623,Beregost
80781668,Zazesspur
94296867,Yuthgalaunt
23769663,Amruthar
41306877,Harrowdale
83369631,Nexal
92036842,Eversult
93773864,Cathyr
69691305,Cimbar
29101132,Cimbar
46929244,Cimbar
16455665,Cimbar
79485333,Luskan
90873841,Cathyr
85916785,Citadel Adbarr
48918285,Citadel Adbarr
23529304,Citadel Adbarr
20799569,Citadel Adbarr
25838799,Citadel Felbarr
43141622,Citadel Felbarr
16305118,Citadel Felbarr
70527913,Citadel Felbarr
11159134,Citadel Felbarr
19874318,Oman
66076815,Furthinghome
85546048,Cedarspoke
97842656,High Hold
56722470,Alaghon
69000870,Amruthar
10710368,Arkanax
30949079,Arrabar
80052498,Athkatla
13435190,Baldur's Gate
49654037,Beluir
66271356,Berdusk
99915005,Bezentil
42437642,Calimport
84837557,Cimbar
77069165,Citadel Adbarr
92618057,Citadel Felbarr
88384593,Crimmor
39524694,Daerlun
75028018,Darromar
11806023,Dashadjen
49911214,Dilpur
45179079,Elturel
98777657,Erebos
26221605,Eshpurta
51458808,Everlund
90851253,Eversult
36142121,Gauntlgrym
64873461,Heliogabalus
88887512,Heptios
33516134,Hlath
50160300,Holondeth
74690308,Ilmwatch
73725071,Ironspur
52161793,Khaerbaal
31323618,Krenalir
56953714,Lhuvenhead
98637577,Lundeth
32363598,Lushpool
31848297,Luskan
67878619,Lyrabar
57249556,Malaxer
97325459,Marsember
35405462,Memnon
16863355,Menzoberranzan
28172962,Messemprar
38383776,Mirabar
72285967,Mithral Hall
22584091,Morningstar Hollows
18923792,Mount Talath
51305604,Mulsantir
68145637,Murann
17315982,Myratma
27737094,Myth Drannor
84121699,Nashkel
41486662,Neverwinter
60476753,New Sarshel
31959397,Ordulin
16388114,Phannaskul
82820801,Port Nowhere
24426576,Praka
89654131,Priapurl
78596982,Red Larch
92943308,Riatavin
38622141,Saerloon
53271817,Secomber
72006458,Shamph
23012057,Shoun
17269862,Silverymoon
47092652,Starmantle
64769630,Sundabar
65013640,Sundrah
63098619,Surthay
39219144,Suzail
92518165,The Nath
39061807,Thindar
59316837,Thornhold
84521051,Tilverton
90701823,Toreus
22571675,Trademeet
22669775,Triel
15780843,Tyraturos
93609042,Velen
45078230,Waterdeep
68771108,Yuthgalaunt
13693046,Zabbasz
44926861,Zalazuu
64014500,Scornubel
81377490,Beluir
36832740,Starmantle
62418071,High Hold
21910867,Jalanthar
82304763,Port Nyanzaru
19802897,High Hold
87050695,Crimmor
38480176,Crimmor
74981108,Crimmor
35182513,Crimmor
48759197,Crimmor
92201122,Duskan
66355853,Bezentil
19685317,Uluvin
93582599,Saerloon
97347051,Elturel
84893072,Daerlun
74328241,Daerlun
30980703,Daerlun
14522249,Conyberry
16930720,Athkatla
64140914,Valls
24855868,Myth Drannor
74621189,Riatavin
54382940,Phannaskul
86148924,Priapurl
91425460,Citadel Felbarr
37618244,Memnonnar
83181910,New Sarshel
26850598,Krenalir
88414150,Arkanax
97366344,Eshpurta
32855082,Port Castigliar
40255116,Crimmor
57091009,Port Nyanzaru
81852129,Wai
42716370,New Alaron
43945769,Kork
35772603,Berranzo
34635252,Arn Rock
52705614,Koko Nur
18822411,Darromar
63312068,Darromar
74475775,Darromar
29567547,Darromar
53918766,Darromar
27771710,Oman
27715349,Morningstar Hollows
21949142,Huzuz
49358265,Telflamm
99547555,Manshaka
53680094,Starmantle
95703836,Dwarven Valley
64924504,Zalazuu
11684390,Fort Morninglord
77422735,Arkanax
52294497,Ironspur
44990902,Urmlaspyr
71582242,Rauvincross
15450003,Rauvincross
79674130,Thindar
86625854,Yuthgalaunt
40122398,Hilltop
78943920,Caer Westphal
46158407,Phant
34957633,Dilpur
86891054,Dilpur
29434529,Dilpur
99331923,Dilpur
50077937,Dilpur
18519807,Erebos
25824543,Telos City
83346512,Waymoot
18728675,Ogden
59459152,Pengram
83989775,Eltabbar
77964438,Furthinghome
81957953,Purple Rock Isles
85982859,Caer Westphal
43927902,Port Nowhere
30011430,Whalebone Isles
21625007,High Hold
43642384,Port Nowhere
22228088,Amphail
99718447,Shamph
75540294,Port Nowhere
39343095,Thornhold
95681175,Wyrmspine
47622706,Eshpurta
29699552,Bezentil
96226009,Urmlaspyr
53732737,Ilmwatch
75463686,Adama's Tooth
50336227,Citadel of Conjurers
19474102,The Nath
46596068,Highrock
42076061,Shimmerglade
87050140,Darromar
74531875,Waymoot
44754767,Luskan
49264251,Nyth
25069738,Urmlaspyr
57985535,Easting
99126289,Easting
48163102,Targos
28368101,Assur
83503621,Mithral Hall
64968673,The Smoking Keep
11758301,Gauntlgrym
11621759,High Hold
65717354,Horsa
52153437,Goldenfields
53359394,Neverwinter
83295493,Cimbar
59339674,Phannaskul
30896866,Eveningstar
45842523,New Alaron
49383120,The Nath
98464345,Arn Rock
95679505,Theshburl
94641557,Eltabbar
58813584,Eltabbar
31582829,Eltabbar
66405432,Elturel
99435242,Elturel
90921607,Elturel
81296406,Elturel
10446275,Fort Belurian
10206691,Ogden
98497189,Uluvin
10220366,Myth Drannor
11758838,Baldur's Gate
84322033,Amruthar
63978729,Mirabar
34768020,Sundrah
16996227,Eveningstar
33603413,Port Castigliar
79494822,Zalazuu
73413929,Emelone
75473750,Emelone
75935675,Secomber
42067052,High Hold
96502286,Daerlun
97702699,Phent
59690766,Eshpurta
11635396,Erebos
34690273,Erebos
35329506,Erebos
37436887,Erebos
42675492,Erebos
21636673,Neverwinter
36869620,Azureleaf
69314471,Velen
60036812,Valls
20897942,Cimbar
98625617,Emmesh
42586227,Eshpurta
56245833,Eshpurta
60353578,Eshpurta
84884534,Eshpurta
17519334,Citadel of Conjurers
82746795,Sambar
20493907,Fort Morninglord
49994754,Citadel of Conjurers
48497391,Tilbrand
63616326,Telflamm
82850443,Neverwinter
26034754,Zazesspur
66433180,Auckney
16205020,Phannaskul
78864628,Suzail
50593108,Toreus
35082280,Pengram
76459725,Everlund
44412688,Everlund
65662811,Eversult
37197285,Eversult
68328427,Eversult
26431806,Assur
92124947,Cathyr
13042484,Nexal
26014100,Fort Calim
28677050,Lushpool
52068877,Ruathym
87256009,Mintarn
43122458,Yuthgalaunt
51497487,Telos City
38334130,Arabel
43109363,Morningstar Hollows
92860365,Nexal
91750870,Phannaskul
61671899,Yhaunn
76267167,Maralith
77644241,Zazesspur
62735904,Maralith
69806142,Caer Westphal
42294787,Waymoot
42481797,Wyrmspine
96613959,Furthinghome
18708965,Cimbar
37325283,Menzoberranzan
42580097,Farview
57722915,Zazesspur
50264547,Farview
49803163,Iriaesbor
31251038,Maur-Eturo
45631081,Korinn
47867145,Proskur
50919185,Bloodstone (Vaasa)
63339030,Wyrmspine
58896754,Mussum
20955641,Emmesh
36101788,Fort Calim
14915950,Azureleaf
63526344,Pengram
61875813,Bloodstone (Damara)
82938088,Darromar
56681796,Mereu
52302302,Thornhold
95316333,Athkatla
52463743,Krenalir
14241963,Iljak
85083278,Kai Shan
58749545,Palost Port
87333492,Phannaskul
12016203,Gracklstugh
53713173,Oman
94462683,Yhaunn
75088222,New Alaron
86947906,Manshaka
35796396,Ironfang Keep
95692082,Blingdenstone
87875637,Morningstar Hollows
32166945,Maralith
31203944,Furthinghome
68849161,Furthinghome
80650462,Dashadjen
54279923,Regent's Field
81822021,Azureleaf
92048856,Arrabar
33103106,Fireshear
91560674,Gauntlgrym
99246111,Gauntlgrym
56202210,Gauntlgrym
16245053,Gauntlgrym
67206461,Cathyr
88264610,Yhaunn
79264711,Amphail
79187353,Neverwinter
23384707,Hundlestone
49681470,Nykkar
82768803,Uluvin
71192916,Zabbasz
63065934,Malaxer
58725407,Marsember
82211350,Adama's Tooth
65999500,Nexal
61379694,Amruthar
87410672,Skuld
90208957,Darromar
25633934,Arrabar
84603692,Candlekeep
93129677,Eshpurta
75229111,Daerlun
16437673,Huzuz
62745769,Ogden
37277401,Waterdeep
24492430,Goldenfields
70447418,Targos
91221508,Dilpur
54354786,Secomber
62673078,Menzoberranzan
70697027,Azureleaf
96668082,Gracklstugh
62896584,Purple Rock Isles
71724238,Phannaskul
62033060,Ironspur
13377307,Citadel Felbarr
19338058,Murann
62413739,Tilbrand
28571028,Singing Sands
88649385,Telos City
77561610,Duskan
63537056,Arkanax
84807909,Nyth
53610209,Krenalir
66950616,Fort Belurian
49158384,Myratma
56336718,Mussum
97471335,Malaxer
61596124,Mucklestones
94788336,Easting
52479411,Caer Westphal
91552665,Telflamm
29525488,Halagard
34000313,Halagard
33358085,Halagard
99230635,Halagard
38188982,Halagard
53100364,Halagard
63180119,Easting
21045412,Palost Port
47583954,Waymoot
89003210,Silverymoon
18474673,Gauntlgrym
97508931,Tyraturos
12424674,Harrowdale
73905112,Yhaunn
94558337,Rauvincross
39541719,Tilverton
58554479,Yhaunn
44792342,High Hold
65833282,Ironspur
26995016,Mucklestones
64207794,Heliogabalus
73797641,Heliogabalus
76168228,Heliogabalus
83237107,Heliogabalus
82312391,Mucklestones
62283879,Ravenstone
62906948,Calimport
56378559,Gnarhelm
36337357,Fort Calim
75401564,Fort Calim
49304834,Ironmaster
52713678,Heptios
61394098,Heptios
49032617,Heptios
27574512,Heptios
45088852,Heptios
57128225,Sunderstaad
60678189,Waymoot
23297352,Amphail
14854575,The Smoking Keep
45966199,Lyrabar
49679963,Gundbarg
30304094,Mount Talath
30943939,Berranzo
81902596,Riatavin
34883300,Sundrah
96908583,Candlekeep
50096572,Urmlaspyr
73353613,Targos
11707071,Bloodstone (Damara)
93771302,Hlath
53390528,Hlath
42221342,Hlath
34948636,Hlath
99599197,Hlath
46731073,Dashadjen
21527219,Telos City
94043364,Huzuz
44212318,Huzuz
39664143,Dusk Hold
52390183,Holondeth
48727676,Holondeth
79454761,Zazesspur
43716709,Duskan
13581061,Maur-Eturo
37084931,Messemprar
86261551,Myratma
24350347,Duskan
97273485,Beregost
83632577,Jalanthar
83133989,Huzuz
12943886,Huzuz
91058303,Huzuz
95943823,Huzuz
88177523,Red Larch
62132426,Old Vaelan
40387028,Skuld
69138595,Baldur's Gate
39417010,Blackstone
33713004,Urmlaspyr
44008226,Amphail
55974637,Phant
98289810,Targos
34791952,Palost Port
19588411,Iljak
34745882,Erebos
19312265,High Hold
22927689,New Sarshel
80968261,Lyrabar
17116608,Waterdeep
51701421,Eveningstar
46001932,Iljak
32293620,Iljak
46983301,Iljak
88375931,Ilmwatch
22555671,Ilmwatch
76607061,Ilmwatch
40784272,Ilmwatch
12484943,Eshpurta
87089889,Skuld
90631708,The Nath
77702177,Messemprar
34448899,Trademeet
63012697,Singing Sands
13244211,Eveningstar
96653223,Caer Westphal
65491398,Mereu
41608457,Palost Port
57204826,Mulsantir
19297723,Menzoberranzan
77862386,Maralith
97941849,Nexal
53264605,Jalanthar
52430112,Phant
21779895,Whalebone Isles
24215399,Mount Talath
33780506,Iriaesbor
93339962,Iriaesbor
62004087,Cimbar
71615596,Ironfang Keep
34551883,Ironspur
27623043,Purple Rock Isles
58297336,Tilverton
69287529,Nykkar
77261200,Luskan
37271722,Lushpool
73896329,Shoun
43702906,Arn Rock
60961422,Waterdeep
87393583,Amruthar
51750389,Khaerbaal
23307219,Memnon
57776425,Daggerford
77236245,Ilmwatch
86780916,Helm's Hold
58596548,Waterdeep
15387729,Maur-Eturo
15848454,Krenalir
49246068,Maralith
58415723,Easting
92632730,Port Kir
31381206,Everlund
28081088,Waymoot
48824013,Nexal
75589213,Regent's Field
96445838,Halagard
18754933,Phant
31988952,Shoun
69016053,Nethyr
78150023,Alaghon
80398008,High Hold
84468230,Citadel of Conjurers
37958405,Tyraturos
51088756,Citadel Felbarr
27541040,Arabel
33154211,Rivermoot
80095342,Mantol Dereith
99319051,Korinn
25653160,Nexal
23794511,Ironspur
14178487,Tilverton
29869204,New Alaron
94918338,Eveningstar
22269288,Phannaskul
86776721,Lyrabar
87986151,Myth Drannor
50566481,Leilon
94771446,Praka
86636308,Berranzo
53102432,Nethyr
88272913,Bezentil
93607254,Velen
11196352,Beregost
76832753,Starmantle
26022121,Praka
83545992,Grondsgrunn
90723380,Arkanax
49684049,Krenalir
74553590,Khaerbaal
77484784,Telflamm
23678601,Whalebone Isles
99176362,Dashadjen
56358035,Memnonnar
45074981,Marsember
13038208,Easting
73122952,New Sarshel
35202457,Tilbrand
86888742,Lhuvenhead
18817711,Velen
10815690,Caer Moray
75000340,Hundlestone
73150440,Hilltop
82542621,Furthinghome
36347111,Palischuk
95125036,Blackstone
84746112,Ironmaster
77598690,Mount Talath
64718523,Rogarsheim
40128724,Thornhold
21802760,Iljak
24608800,Khaerbaal
54344732,Halagard
77141307,Everlund
87283653,Port Nowhere
27517401,Neverwinter
33870373,Beluir
73320748,Amphail
19790897,Yhaunn
85266333,Silverymoon
86485302,Saerloon
56083342,Ironspur
82476500,Adama's Tooth
57038287,Helm's Hold
97414774,Tharsult
28838949,Nyth
26159072,Blingdenstone
66023424,Neverwinter
65280214,Triel
59960827,Caer Callidyrr
41410289,Singing Sands
22536914,Manshaka
67010455,Horsa
10026256,Triel
44069889,The Smoking Keep
19828870,Grondsgrunn
88956613,Paletorch
85594163,Arabel
73469255,Iriaesbor
30946291,Surthay
85333222,Duskan
85361024,Bloodstone (Vaasa)
32226332,Fort Morninglord
45882824,Baldur's Gate
44169569,Phannaskul
42730208,Koko Nur
72933863,Duskan
99153549,Conyberry
55186191,Aerilpar
86871763,Phant
42445869,Halagard
79662783,Sundabar
87467088,Crimmor
50191597,Port Castigliar
58830271,Eltabbar
34893776,Gracklstugh
41240488,Phannaskul
77263778,Zalazuu
80121390,Neverwinter
18489852,Mintarn
39363266,Huzuz
63034315,Port Castigliar
99649514,Mussum
30675585,Heptios
87512741,Phant
88323273,Lundeth
24055645,Eltabbar
48734142,Emmesh
81308805,Cimbar
30002053,Dusk Hold
54297076,Surthay
59859562,Citadel Felbarr
35365691,Berranzo
38153892,Jalanthar
30103926,Iriaesbor
47377458,Red Larch
77094015,Amphail
73712490,Wyrmspine
39217097,Luskan
28187924,Regent's Field
16284152,Berdusk
12198762,Keltar
39358100,Cimbar
34326747,Emelone
90354209,Paletorch
15524416,Rogarsheim
73795272,Cimbar
73493843,Bloodstone (Damara)
25323929,Conyberry
88348747,Valls
82009117,Bloodstone (Vaasa)
56267744,Erebos
59397995,Port Nowhere
19661307,Phant
88099885,Sunderstaad
62762290,Maralith
16866519,High Hold
17850429,Lundeth
71034957,Fort Calim
74749859,Khaerbaal
38548220,Khaerbaal
19565161,Khaerbaal
50631822,Korinn
51800847,Jalanthar
97228137,Hundlestone
49649866,Norheim
93269005,Port Nowhere
77958662,Sambar
95858705,Furthinghome
52141760,Memnonnar
80686605,Mintarn
81759300,Kai Shan
95101476,Mulsantir
83399434,Hilltop
38454328,Alaghon
94355496,Krenalir
34444176,Krenalir
65277594,Krenalir
50636375,Krenalir
97784299,Crimmor
38074520,Old Vaelan
41026242,Korinn
11024206,Marsember
71970694,Nashkel
84691320,Port Nyanzaru
26745394,Gracklstugh
31144248,Telos City
65998001,Targos
23254044,Scornubel
85860677,Friendly Arm Inn
56670568,Goldenfields
68954738,Lushpool
46252638,Surthay
91478321,Palost Port
35078680,Fort Belurian
98241083,Leilon
17940727,Aerilpar
31366741,Uluvin
11641632,Surthay
70099422,Saerloon
62648080,Ironfang Keep
57855722,The Smoking Keep
13165709,Phandalin
49895322,Memnon
25469942,Velprintalar
78052676,Shamph
64961056,Bloodstone (Vaasa)
70851136,Calimport
29260683,Zalazuu
50247401,Blackstone
68404966,Port Nowhere
87727845,Tharsult
35784264,Maralith
75446110,Targos
67535827,Olafstaad
83369187,Jalanthar
86930523,Lhuvenhead
70346943,Velprintalar
54586296,Valls
75705059,Trademeet
27236780,Citadel Adbarr
66410878,Halagard
94075665,Auckney
90374680,Ordulin
81013449,Amruthar
41993513,Phant
39986349,Tharsult
61253281,New Alaron
26157761,Lhuvenhead
14786881,Caer Moray
56599965,Dusk Hold
22023430,Citadel Felbarr
76175410,Nashkel
81668193,Citadel Adbarr
65658060,Khaerbaal
10657607,Port Nowhere
37178760,Arkanax
14813358,Harrowdale
11831498,Surthay
92830437,Theshburl
34532789,Harrowdale
70407151,Wyrmspine
29461099,Hlath
97798869,Waymoot
25010177,Candlekeep
94790927,Citadel Adbarr
11359787,The Nath
60919137,Memnon
66910553,Alaghon
61924870,Arkanax
21665995,Arrabar
92452983,Athkatla
42361182,Baldur's Gate
61020755,Beluir
72668730,Berdusk
23603953,Bezentil
96258900,Bryn Shander
90870135,Caer Moray
19764674,Calimport
51333420,Cimbar
28843155,Citadel Adbarr
20268152,Citadel Felbarr
25547262,Crimmor
23688894,Daerlun
98543938,Daggerford
50661594,Darromar
29999185,Dilpur
19725889,Eltabbar
20326740,Erebos
65049833,Everlund
38172815,Eversult
42264028,Furthinghome
16458032,Goldenfields
88130934,Halagard
20280663,Heliogabalus
80125837,Heptios
98052809,Hlath
87529405,Holondeth
96326334,Huzuz
53831588,Khaerbaal
53430190,Krenalir
10810480,Lyrabar
60584555,Malaxer
51087166,Maralith
14929084,Marsember
55597433,Mereu
22425531,Messemprar
66633788,Mithral Hall
60553536,Mucklestones
72243188,Murann
86051796,Mussum
63723562,Myratma
69762105,Nethyr
67412459,Nexal
40866376,Old Vaelan
70796439,Ordulin
84718701,Paletorch
68821736,Phannaskul
72332170,Port Nowhere
58999482,Priapurl
16844505,Riatavin
97344356,Rivermoot
24014897,Secomber
20701773,Shamph
